Order ID,Order Date,Customer ID,Product,Category,Region,Country,Quantity,Sales
ORD100001,08/17/2022,CUST1025,Bluetooth Speaker,Electronics,Asia,India,4,729.8
ORD100002,07/29/2022,CUST1692,Bluetooth Speaker,Electronics,Oceania,Australia,1,474.44
ORD100003,03/07/2022,CUST1030,Laptop Sleeve,Electronics,Europe,UK,1,406.76
ORD100004,02/24/2022,CUST1574,Standing Desk,Furniture,Oceania,New Zealand,1,180.25
ORD100005,07/24/2023,CUST1828,Pen Set,Office Supplies,North America,USA,4,2240.08
ORD100006,11/28/2023,CUST1284,Office Chair,Furniture,Europe,Germany,4,345.04
ORD100007,02/18/2024,CUST1099,Coffee Maker,Home,Asia,Japan,2,430.58
ORD100008,03/30/2022,CUST1747,Jeans,Apparel,Oceania,Australia,3,2335.89
ORD100009,02/15/2024,CUST1080,Running Shoes,Footwear,Asia,Japan,2,993.44
ORD100010,01/11/2024,CUST1591,Standing Desk,Furniture,North America,USA,2,1061.4
ORD100011,08/16/2023,CUST1081,Pen Set,Office Supplies,Europe,UK,3,921.6
ORD100012,07/17/2024,CUST1650,Pen Set,Office Supplies,Asia,India,3,897.87
ORD100013,03/06/2023,CUST1686,Water Bottle,Home,North America,Mexico,2,1019.62
ORD100014,12/29/2024,CUST1746,Standing Desk,Furniture,Europe,Germany,1,306.67
ORD100015,03/26/2023,CUST1701,Coffee Maker,Home,North America,USA,5,3291.65
ORD100016,10/09/2023,CUST1410,Water Bottle,Home,North America,USA,3,2192.82
ORD100017,10/07/2023,CUST1217,Smartphone Case,Electronics,South America,Argentina,2,1416.64
ORD100018,07/28/2024,CUST1146,Water Bottle,Home,Europe,UK,3,1791.81
ORD100019,06/23/2023,CUST1764,Dress Shoes,Footwear,South America,Chile,2,645.04
ORD100020,03/26/2023,CUST1141,Running Shoes,Footwear,South America,Brazil,2,1211.7
ORD100021,08/13/2022,CUST1156,Smartphone Case,Electronics,Europe,France,7,2384.34
ORD100022,05/11/2022,CUST1394,T-shirt,Apparel,Oceania,New Zealand,2,851.3
ORD100023,01/24/2022,CUST1696,Bluetooth Speaker,Electronics,North America,Mexico,2,1416.82
ORD100024,07/01/2023,CUST1787,Smartphone Case,Electronics,Asia,India,3,714.99
ORD100025,11/20/2022,CUST1464,Wireless Mouse,Electronics,Asia,Japan,2,1221.52
ORD100026,11/05/2024,CUST1934,Laptop Sleeve,Electronics,Asia,Japan,1,408.59
ORD100027,02/12/2023,CUST1156,Coffee Maker,Home,Europe,France,2,1526.06
ORD100028,12/22/2024,CUST1940,Wireless Mouse,Electronics,Oceania,New Zealand,3,1180.32
ORD100029,08/18/2022,CUST1951,Coffee Maker,Home,Asia,India,1,51.05
ORD100030,06/11/2022,CUST1087,Bluetooth Speaker,Electronics,South America,Brazil,5,3912.5
ORD100031,12/26/2024,CUST1784,Office Chair,Furniture,Europe,France,2,765.7
ORD100032,12/05/2022,CUST1271,Running Shoes,Footwear,Oceania,New Zealand,4,3086.68
ORD100033,02/16/2023,CUST1730,Water Bottle,Home,South America,Chile,2,1043.3
ORD100034,06/16/2024,CUST1921,Running Shoes,Footwear,South America,Brazil,5,1010.4
ORD100035,05/12/2022,CUST1346,Wireless Mouse,Electronics,Oceania,Australia,5,2364.05
ORD100036,01/15/2022,CUST1072,Bluetooth Speaker,Electronics,North America,USA,3,175.74
ORD100037,03/06/2022,CUST1880,Coffee Maker,Home,North America,Mexico,1,194.21
ORD100038,09/21/2024,CUST1219,Running Shoes,Footwear,Europe,France,1,748.73
ORD100039,08/26/2024,CUST1248,Notebook,Office Supplies,South America,Argentina,3,469.14
ORD100040,07/18/2022,CUST1674,T-shirt,Apparel,Asia,China,3,995.49
ORD100041,04/21/2022,CUST1689,Smartphone Case,Electronics,North America,USA,3,975.24
ORD100042,11/26/2023,CUST1819,Pen Set,Office Supplies,North America,USA,2,314.62
ORD100043,07/07/2024,CUST1143,T-shirt,Apparel,Europe,Germany,6,2236.74
ORD100044,06/04/2022,CUST1453,Notebook,Office Supplies,Oceania,Australia,5,226.1
ORD100045,01/31/2022,CUST1992,Laptop Sleeve,Electronics,Europe,UK,1,328.1
ORD100046,09/12/2024,CUST1218,Pen Set,Office Supplies,South America,Brazil,2,271.78
ORD100047,01/05/2022,CUST1399,Water Bottle,Home,South America,Argentina,3,1023.87
ORD100048,09/23/2024,CUST1158,Standing Desk,Furniture,Asia,India,3,2325.36
ORD100049,05/05/2022,CUST1765,Coffee Maker,Home,North America,USA,1,469.42
ORD100050,10/26/2024,CUST1941,Pen Set,Office Supplies,Oceania,Australia,3,150.66
ORD100051,11/06/2024,CUST1082,Pen Set,Office Supplies,Europe,UK,3,1434.15
ORD100052,04/27/2023,CUST1413,Laptop Sleeve,Electronics,Oceania,Australia,4,1860.96
ORD100053,03/23/2022,CUST1634,Laptop Sleeve,Electronics,South America,Chile,2,938.04
ORD100054,12/06/2024,CUST1323,LED Lamp,Home,Asia,India,1,537.43
ORD100055,10/06/2023,CUST1244,Water Bottle,Home,South America,Brazil,3,1616.97
ORD100056,09/07/2023,CUST1468,Coffee Maker,Home,North America,USA,3,1108.02
ORD100057,07/24/2022,CUST1075,Running Shoes,Footwear,Europe,France,1,215.83
ORD100058,12/16/2023,CUST1902,Laptop Sleeve,Electronics,Europe,Germany,3,694.68
ORD100059,06/16/2024,CUST1853,Running Shoes,Footwear,Asia,Japan,3,2361.48
ORD100060,12/19/2024,CUST1008,Smartphone Case,Electronics,Oceania,New Zealand,4,2983.0
ORD100061,08/01/2022,CUST1961,LED Lamp,Home,Europe,Germany,2,193.54
ORD100062,08/08/2022,CUST1760,Running Shoes,Footwear,Europe,Germany,3,687.0
ORD100063,03/08/2023,CUST1734,Coffee Maker,Home,Europe,France,1,509.22
ORD100064,06/25/2023,CUST1517,Jeans,Apparel,Asia,India,3,235.14
ORD100065,05/17/2024,CUST1849,Water Bottle,Home,North America,USA,2,540.36
ORD100066,09/25/2022,CUST1652,Water Bottle,Home,Europe,France,2,712.52
ORD100067,05/25/2024,CUST1574,Wireless Mouse,Electronics,North America,USA,4,3025.28
ORD100068,11/02/2022,CUST1558,Wireless Mouse,Electronics,Asia,Japan,2,888.52
ORD100069,05/30/2024,CUST1130,Wireless Mouse,Electronics,Asia,China,4,2878.76
ORD100070,03/23/2022,CUST1920,Coffee Maker,Home,Europe,France,4,813.52
ORD100071,07/30/2022,CUST1362,Notebook,Office Supplies,Oceania,New Zealand,1,779.2
ORD100072,11/13/2022,CUST1947,LED Lamp,Home,Europe,UK,5,3905.4
ORD100073,12/29/2022,CUST1902,T-shirt,Apparel,North America,USA,6,3543.42
ORD100074,11/12/2023,CUST1801,LED Lamp,Home,South America,Chile,1,691.93
ORD100075,05/24/2023,CUST1273,Office Chair,Furniture,North America,Canada,3,2095.11
ORD100076,08/21/2024,CUST1227,Standing Desk,Furniture,South America,Argentina,1,247.63
ORD100077,04/12/2023,CUST1228,Wireless Mouse,Electronics,Europe,Germany,2,531.94
ORD100078,05/23/2022,CUST1990,Notebook,Office Supplies,Asia,China,1,514.98
ORD100079,03/29/2024,CUST1695,Pen Set,Office Supplies,Oceania,New Zealand,4,3006.76
ORD100080,08/25/2022,CUST1898,Water Bottle,Home,Europe,France,3,2310.63
ORD100081,06/28/2023,CUST1039,Laptop Sleeve,Electronics,Oceania,New Zealand,5,1399.1
ORD100082,10/05/2023,CUST1446,Dress Shoes,Footwear,Oceania,Australia,1,311.23
ORD100083,01/25/2023,CUST1260,Wireless Mouse,Electronics,South America,Brazil,2,836.68
ORD100084,02/08/2023,CUST1372,T-shirt,Apparel,North America,Mexico,3,2211.03
ORD100085,10/05/2023,CUST1679,Pen Set,Office Supplies,North America,Mexico,5,3602.7
ORD100086,11/04/2024,CUST1316,Smartphone Case,Electronics,South America,Argentina,2,649.82
ORD100087,08/29/2023,CUST1567,Office Chair,Furniture,Europe,Germany,3,1600.86
ORD100088,02/16/2024,CUST1693,Bluetooth Speaker,Electronics,Europe,France,2,914.88
ORD100089,04/11/2024,CUST1561,Pen Set,Office Supplies,North America,Canada,5,1165.5
ORD100090,05/30/2024,CUST1804,Dress Shoes,Footwear,Oceania,New Zealand,6,2248.02
ORD100091,06/24/2024,CUST1691,Standing Desk,Furniture,Oceania,New Zealand,3,1908.06
ORD100092,12/14/2022,CUST1674,Laptop Sleeve,Electronics,Asia,Japan,2,1065.52
ORD100093,11/18/2023,CUST1095,Pen Set,Office Supplies,Europe,France,4,1007.12
ORD100094,02/12/2023,CUST1150,Wireless Mouse,Electronics,North America,USA,3,2361.69
ORD100095,05/30/2022,CUST1466,T-shirt,Apparel,Oceania,Australia,5,2880.45
ORD100096,02/26/2024,CUST1506,T-shirt,Apparel,Europe,UK,2,1053.14
ORD100097,01/12/2022,CUST1914,Notebook,Office Supplies,North America,Canada,6,1073.88
ORD100098,11/26/2024,CUST1475,Wireless Mouse,Electronics,Oceania,Australia,6,4406.34
ORD100099,09/06/2022,CUST1467,Office Chair,Furniture,South America,Chile,2,854.5
ORD100100,10/12/2023,CUST1972,Notebook,Office Supplies,South America,Chile,2,1305.86
ORD100101,10/30/2024,CUST1436,Pen Set,Office Supplies,Oceania,New Zealand,3,2154.84
ORD100102,08/30/2024,CUST1460,Water Bottle,Home,Europe,France,2,450.92
ORD100103,12/03/2024,CUST1496,Smartphone Case,Electronics,Europe,Germany,1,354.7
ORD100104,08/09/2023,CUST1240,Water Bottle,Home,Asia,China,3,2144.88
ORD100105,06/15/2022,CUST1141,Office Chair,Furniture,Europe,Germany,3,1670.07
ORD100106,03/15/2023,CUST1065,T-shirt,Apparel,South America,Argentina,2,872.76
ORD100107,05/01/2024,CUST1063,Standing Desk,Furniture,South America,Argentina,1,724.35
ORD100108,02/10/2022,CUST1877,LED Lamp,Home,Oceania,New Zealand,4,1536.8
ORD100109,12/22/2023,CUST1305,Notebook,Office Supplies,South America,Argentina,3,1298.67
ORD100110,03/28/2023,CUST1499,Standing Desk,Furniture,Asia,China,3,1173.27
ORD100111,03/07/2024,CUST1344,Smartphone Case,Electronics,South America,Chile,1,136.21
ORD100112,08/15/2024,CUST1941,Office Chair,Furniture,Oceania,Australia,1,726.01
ORD100113,02/25/2022,CUST1085,Smartphone Case,Electronics,South America,Brazil,5,3470.75
ORD100114,01/08/2023,CUST1051,Water Bottle,Home,South America,Argentina,1,173.27
ORD100115,11/01/2023,CUST1345,Notebook,Office Supplies,South America,Argentina,2,1205.7
ORD100116,05/13/2024,CUST1258,Pen Set,Office Supplies,North America,Canada,3,61.23
ORD100117,04/17/2022,CUST1974,Coffee Maker,Home,Europe,France,5,297.75
ORD100118,03/24/2022,CUST1772,Wireless Mouse,Electronics,Europe,UK,2,1344.38
ORD100119,11/09/2022,CUST1244,Office Chair,Furniture,South America,Chile,2,191.88
ORD100120,03/23/2023,CUST1476,Bluetooth Speaker,Electronics,Asia,China,1,138.39
ORD100121,08/23/2022,CUST1796,Pen Set,Office Supplies,Europe,Germany,1,90.94
ORD100122,02/22/2022,CUST1951,Water Bottle,Home,Oceania,New Zealand,1,320.34
ORD100123,02/11/2023,CUST1077,Dress Shoes,Footwear,Europe,UK,4,2237.08
ORD100124,09/10/2023,CUST1870,Smartphone Case,Electronics,Oceania,Australia,3,1914.0
ORD100125,03/26/2022,CUST1355,Running Shoes,Footwear,South America,Chile,3,898.8
ORD100126,11/02/2024,CUST1663,Coffee Maker,Home,North America,Canada,2,1317.5
ORD100127,08/05/2022,CUST1443,Coffee Maker,Home,South America,Chile,3,379.89
ORD100128,12/27/2022,CUST1751,Running Shoes,Footwear,Asia,Japan,3,1942.56
ORD100129,09/17/2024,CUST1476,T-shirt,Apparel,Oceania,New Zealand,1,261.23
ORD100130,05/18/2023,CUST1850,LED Lamp,Home,North America,Canada,2,1411.8
ORD100131,05/15/2023,CUST1768,Jeans,Apparel,Oceania,New Zealand,4,1089.76
